iter	Passed	Remaining
419	2377	8945
420	2384	8942
421	2391	8941
422	2399	8946
423	2406	8944
424	2412	8941
425	2419	8940
426	2426	8940
427	2433	8938
428	2440	8937
429	2446	8934
430	2453	8932
431	2460	8928
432	2466	8927
433	2473	8926
434	2480	8923
435	2486	8920
436	2493	8919
437	2501	8920
438	2508	8920
439	2516	8923
440	2523	8922
441	2531	8921
442	2538	8921
443	2545	8920
444	2552	8918
445	2558	8913
446	2564	8910
447	2572	8911
448	2581	8915
449	2588	8915
450	2596	8917
451	2603	8915
452	2609	8913
453	2619	8918
454	2627	8920
455	2635	8925
456	2644	8929
457	2653	8933
458	2661	8936
459	2670	8940
460	2678	8942
461	2686	8944
462	2694	8945
463	2703	8948
464	2710	8947
465	2717	8947
466	2725	8945
467	2732	8945
468	2740	8945
469	2749	8950
470	2757	8951
471	2765	8953
472	2773	8955
473	2782	8957
474	2789	8955
475	2798	8960
476	2805	8958
477	2813	8958
478	2820	8957
479	2828	8957
480	2836	8958
481	2845	8960
482	2852	8958
483	2859	8958
484	2867	8956
485	2875	8956
486	2882	8955
487	2890	8956
488	2898	8955
489	2905	8952
490	2911	8948
491	2918	8944
492	2924	8940
493	2931	8938
494	2939	8935
495	2945	8931
496	2952	8927
497	2960	8928
498	2966	8922
499	2973	8920
500	2980	8919
501	2987	8915
502	2994	8912
503	3002	8910
504	3008	8906
505	3016	8906
506	3023	8903
507	3030	8901
508	3037	8898
509	3045	8896
510	3052	8894
511	3060	8893
512	3067	8890
513	3074	8888
514	3081	8884
515	3088	8881
516	3094	8875
517	3100	8871
518	3106	8864
519	3113	8861
520	3120	8858
521	3127	8854
522	3133	8850
523	3140	8846
524	3146	8841
525	3153	8836
526	3159	8831
527	3166	8827
528	3172	8822
529	3179	8817
530	3186	8815
531	3192	8809
532	3199	8805
533	3206	8801
534	3212	8798
535	3220	8795
536	3227	8793
537	3234	8789
538	3241	8785
539	3247	8779
540	3254	8776
541	3260	8770
542	3264	8759
543	3268	8747
544	3272	8737
545	3280	8735
546	3288	8736
547	3295	8732
548	3299	8720
549	3303	8708
550	3308	8699
551	3311	8687
552	3316	8677
553	3319	8665
554	3323	8653
555	3327	8641
556	3331	8630
557	3335	8618
558	3338	8607
559	3343	8597
560	3347	8586
561	3351	8575
562	3355	8563
563	3358	8552
564	3362	8541
565	3367	8532
566	3372	8523
567	3376	8511
568	3379	8500
569	3383	8488
570	3388	8480
571	3392	8469
572	3398	8463
573	3403	8455
574	3407	8444
575	3412	8436
576	3418	8431
577	3422	8419
578	3426	8409
579	3431	8402
580	3437	8395
581	3442	8386
582	3446	8378
583	3452	8370
584	3456	8359
585	3461	8352
586	3465	8342
587	3471	8335
588	3475	8326
589	3480	8318
590	3485	8310
591	3490	8301
592	3495	8293
593	3502	8289
594	3508	8285
595	3514	8279
596	3518	8269
597	3524	8263
598	3531	8260
599	3537	8253
600	3541	8243
601	3545	8234
602	3552	8231
603	3558	8224
604	3562	8214
605	3568	8208
606	3573	8201
607	3577	8191
608	3582	8182
609	3587	8174
610	3592	8166
611	3596	8157
612	3601	8148
613	3606	8140
614	3614	8139
615	3621	8136
616	3627	8130
617	3632	8123
618	3636	8113
619	3642	8106
620	3646	8097
621	3651	8089
622	3655	8080
623	3661	8075
624	3666	8066
625	3673	8062
626	3678	8055
627	3682	8045
628	3687	8038
629	3691	8028
630	3699	8026
631	3703	8016
632	3707	8007
633	3711	7996
634	3715	7987
635	3719	7977
636	3724	7968
637	3728	7958
638	3733	7951
639	3736	7940
640	3741	7932
641	3746	7923
642	3750	7914
643	3755	7908
644	3759	7897
645	3764	7890
646	3769	7883
647	3773	7873
648	3778	7865
649	3782	7855
650	3787	7847
651	3790	7837
652	3795	7828
653	3799	7819
654	3803	7810
655	3808	7802
656	3812	7792
657	3816	7784
658	3820	7774
659	3824	7765
660	3828	7755
661	3832	7746
662	3836	7736
663	3840	7726
664	3844	7717
665	3847	7707
666	3851	7697
667	3855	7688
668	3860	7680
669	3865	7673
670	3870	7665
671	3874	7655
672	3877	7646
673	3881	7636
